Player,Team,Matches,Batting_Avg,Strike_Rate,Bowling_Avg,Wickets,Fielding_Score,Experience,Performance_Score,Match_Won,Rating
Virat Kohli,India,40,42.45,58.42,37.57,30,61.0,4.08,43.38,0,Average
Rohit Sharma,India,73,32.93,63.8,20.78,81,98.8,6.87,63.28,1,Good
MS Dhoni,India,35,44.72,89.95,38.7,99,66.8,3.41,75.16,1,Elite
Sachin Tendulkar,India,51,57.85,87.21,43.56,1,59.1,5.61,52.79,0,Average
Sourav Ganguly,India,59,31.49,74.58,34.13,77,89.5,6.0,55.5,1,Good
Rahul Dravid,India,66,31.49,77.35,48.77,76,82.9,6.0,61.1,1,Good
Anil Kumble,India,34,58.69,100.55,22.26,92,74.9,3.7,82.31,1,Elite
Kapil Dev,India,59,46.51,63.17,17.55,11,77.8,6.28,38.95,0,Below Average
Sunil Gavaskar,India,20,27.96,85.94,15.0,38,86.0,1.82,47.33,0,Average
Yuvraj Singh,India,16,43.14,70.96,44.96,65,61.4,1.91,48.34,0,Average
Shikhar Dhawan,India,21,28.05,70.65,36.54,95,99.8,2.22,68.36,1,Good
KL Rahul,India,20,28.01,96.98,29.44,12,98.7,1.9,42.99,0,Average
Hardik Pandya,India,16,38.63,91.51,32.8,45,82.5,0.95,59.54,1,Good
Jasprit Bumrah,India,12,6.3,91.27,18.75,26,60.0,1.74,35.6,0,Below Average
Ravindra Jadeja,India,7,9.13,101.11,54.46,112,84.0,1.08,64.95,1,Good
Ravichandran Ashwin,India,20,26.57,75.42,31.29,104,53.6,2.29,54.31,0,Average
Mohammed Shami,India,34,19.81,88.64,31.09,16,51.5,4.17,28.53,0,Below Average
Shreyas Iyer,India,27,39.71,68.79,37.26,103,62.9,3.17,53.87,0,Average
Rishabh Pant,India,9,21.38,81.48,34.81,94,73.1,1.24,57.54,1,Good
Axar Patel,India,69,13.82,72.4,32.24,97,93.4,5.79,69.84,1,Good
Bhuvneshwar Kumar,India,34,56.98,76.94,22.1,59,86.4,4.0,58.08,1,Good
Kuldeep Yadav,India,25,31.61,86.9,34.71,63,87.1,2.54,44.48,0,Average
Yuzvendra Chahal,India,74,36.01,58.64,48.82,87,71.3,7.56,64.18,1,Good
Prithvi Shaw,India,26,13.63,116.85,43.45,108,67.3,2.76,79.77,1,Elite
Mayank Agarwal,India,76,26.83,54.88,45.93,34,68.6,7.99,40.26,0,Average
Ajinkya Rahane,India,36,36.66,50.72,24.89,111,99.4,4.16,69.49,1,Good
Cheteshwar Pujara,India,37,17.74,98.16,20.1,69,52.0,4.02,51.08,0,Average
Wriddhiman Saha,India,20,40.64,90.83,28.74,82,93.4,2.24,59.39,1,Good
Ishant Sharma,India,42,25.99,87.48,30.56,29,78.9,4.32,37.23,0,Below Average
Umesh Yadav,India,18,30.62,87.57,40.94,70,71.9,0.12,56.37,1,Good
Mohammad Kaif,India,40,25.97,74.76,15.0,73,86.3,3.86,53.33,0,Average
VVS Laxman,India,27,62.78,57.05,45.3,104,74.3,2.23,74.58,1,Elite
Zaheer Khan,India,70,34.8,76.52,28.42,95,93.7,7.61,71.24,1,Elite
Harbhajan Singh,India,6,19.13,61.46,25.73,97,95.0,0.91,55.63,1,Good
Irfan Pathan,India,77,47.34,94.5,19.88,62,71.1,7.47,67.79,1,Good
Virender Sehwag,India,69,16.69,72.06,15.0,27,63.8,6.72,32.69,0,Below Average
Gautam Gambhir,India,79,38.13,58.49,38.23,59,79.6,7.7,57.8,1,Good
Dinesh Karthik,India,71,5.6,68.57,30.73,78,95.6,6.89,49.35,0,Average
Suresh Raina,India,56,15.08,83.26,17.1,93,60.5,4.88,54.45,0,Average
Ambati Rayudu,India,66,37.95,63.73,17.05,36,81.1,5.77,47.18,0,Average
Shardul Thakur,India,27,46.08,58.56,26.64,92,81.6,2.71,64.44,1,Good
Deepak Chahar,India,30,37.57,79.87,46.69,21,86.7,3.54,46.54,0,Average
Navdeep Saini,India,72,33.27,79.9,27.4,67,56.6,6.93,58.84,1,Good
